Period,Solde Naturel
2005,0.46812821445269887
2006,0.47716790836754347
2007,0.4453344575604272
2008,0.4536553524804178
2009,0.4630660015349194
2010,0.44504436828020094
2011,0.4899105877754434
2012,0.4919825430294709
2013,0.5035765379113019
2014,0.542634033855668
2015,0.517841344736066
2016,0.5246605078499672
2017,0.5593356819325617
2018,0.5726473629782833
2019,0.574475577242316
2020,0.5664339308045019
