Period,Birth_Death,Region,Count
2017,Births,Nelson region,504
2017,Births,Marlborough region,495
2017,Births,West Coast region,363
2017,Births,Canterbury region,7065
2017,Births,Otago region,2241
2017,Births,Southland region,1215
2018,Births,Northland region,2181
2018,Births,Auckland region,20712
2018,Births,Waikato region,6054
2018,Births,Bay of Plenty region,3969
2018,Births,Gisborne region,711
2018,Births,Hawke's Bay region,2070
2018,Births,Taranaki region,1548
2018,Births,Manawatu-Wanganui region,3024
2018,Births,Wellington region,5706
2018,Births,Tasman region,447
2018,Births,Nelson region,540
2018,Births,Marlborough region,504
2018,Births,West Coast region,324
2018,Births,Canterbury region,6939
2018,Births,Otago region,2148
2018,Births,Southland region,1119
2019,Births,Northland region,2250
2019,Births,Auckland region,21405
2019,Births,Waikato region,6237
2019,Births,Bay of Plenty region,4047
2019,Births,Gisborne region,675
2019,Births,Hawke's Bay region,2037
2019,Births,Taranaki region,1542
2019,Births,Manawatu-Wanganui region,3057
2019,Births,Wellington region,5904
2019,Births,Tasman region,462
2019,Births,Nelson region,537
2019,Births,Marlborough region,480
2019,Births,West Coast region,354
2019,Births,Canterbury region,7164
2019,Births,Otago region,2310
2019,Births,Southland region,1152
2020,Births,Northland region,2244
2020,Births,Auckland region,20385
2020,Births,Waikato region,6195
2020,Births,Bay of Plenty region,4005
2020,Births,Gisborne region,663
2020,Births,Hawke's Bay region,2079
2020,Births,Taranaki region,1467
2020,Births,Manawatu-Wanganui region,2976
2020,Births,Wellington region,5691
2020,Births,Tasman region,474
2020,Births,Nelson region,477
2020,Births,Marlborough region,477
2020,Births,West Coast region,312
2020,Births,Canterbury region,6780
2020,Births,Otago region,2238
2020,Births,Southland region,1083
